"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.024858,0.024858,0.024858,0.024858,0.024858,0.024858,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.141
1,0.024855,0.024855,0.024855,0.024855,0.024855,0.024855,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.142
1,0.024854,0.024854,0.024854,0.024854,0.024854,0.024854,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.143
1,0.024854,0.024854,0.024854,0.024854,0.024854,0.024854,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.144
1,0.024855,0.024855,0.024855,0.024855,0.024855,0.024855,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.145
1,0.024856,0.024856,0.024856,0.024856,0.024856,0.024856,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.146
1,0.024858,0.024858,0.024858,0.024858,0.024858,0.024858,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.147
1,0.024859,0.024859,0.024859,0.024859,0.024859,0.024859,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.148
1,0.024859,0.024859,0.024859,0.024859,0.024859,0.024859,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.149
1,0.024859,0.024859,0.024859,0.024859,0.024859,0.024859,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.15
1,0.02486,0.02486,0.02486,0.02486,0.02486,0.02486,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.151
1,0.02486,0.02486,0.02486,0.02486,0.02486,0.02486,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.152
